loss,val_loss,acc,val_acc
0.0755,0.087,0.9781,0.9558
0.0751,0.0868,0.9781,0.9558
0.0749,0.0871,0.9781,0.9558
0.075,0.0872,0.9781,0.9558
0.0748,0.0872,0.9781,0.9558
0.0771,0.0872,0.9781,0.9558
0.075,0.0874,0.9781,0.9558
0.0744,0.0875,0.9759,0.9558
0.0748,0.0871,0.9781,0.9558
0.0743,0.0875,0.9781,0.9558
0.0744,0.0875,0.9759,0.9558
0.0742,0.0876,0.9781,0.9558
0.0741,0.0872,0.9759,0.9558
0.0739,0.0871,0.9759,0.9558
0.0741,0.087,0.9781,0.9558
0.0753,0.0873,0.9781,0.9558
0.0737,0.087,0.9781,0.9646
0.0753,0.0869,0.9781,0.9646
0.0736,0.0867,0.9781,0.9646
0.0735,0.0866,0.9781,0.9646
0.0734,0.0871,0.9781,0.9646
0.0733,0.0871,0.9781,0.9646
0.0733,0.0871,0.9781,0.9646
0.0731,0.0868,0.9781,0.9646
0.0731,0.0875,0.9781,0.9646
0.0729,0.0871,0.9759,0.9646
0.0734,0.0871,0.9781,0.9646
0.0735,0.0872,0.9759,0.9646
0.0735,0.0869,0.9759,0.9646
0.073,0.0874,0.9759,0.9646
0.0725,0.0873,0.9759,0.9646
0.0725,0.0872,0.9759,0.9646
0.0739,0.0876,0.9759,0.9646
0.0723,0.0873,0.9781,0.9646
0.0722,0.0871,0.9781,0.9646
0.0726,0.0875,0.9759,0.9646
0.0722,0.0878,0.9759,0.9646
0.072,0.0873,0.9759,0.9646
0.0722,0.0876,0.9781,0.9646
0.0724,0.0873,0.9759,0.9646
0.0727,0.0876,0.9759,0.9646
0.0718,0.0868,0.9759,0.9646
0.0746,0.087,0.9781,0.9646
0.0715,0.088,0.9781,0.9646
0.0741,0.0874,0.9781,0.9646
0.0713,0.0877,0.9781,0.9646
0.0722,0.0878,0.9781,0.9646
0.0714,0.088,0.9781,0.9646
0.0757,0.0876,0.9781,0.9646
0.0713,0.0879,0.9781,0.9646
0.071,0.0876,0.9759,0.9646
0.0709,0.0878,0.9781,0.9646
0.0716,0.0881,0.9781,0.9646
0.0712,0.0878,0.9781,0.9646
0.0709,0.0878,0.9781,0.9646
0.0712,0.088,0.9803,0.9646
0.0707,0.0877,0.9781,0.9646
0.0709,0.0875,0.9781,0.9646
0.0719,0.0879,0.9781,0.9646
0.0709,0.0877,0.9781,0.9646
0.0703,0.0883,0.9781,0.9646
0.0707,0.0882,0.9781,0.9646
0.0747,0.0877,0.9781,0.9646
0.07,0.0879,0.9781,0.9646
0.0706,0.0878,0.9781,0.9646
0.0699,0.0885,0.9781,0.9646
0.0699,0.0879,0.9803,0.9646
0.0703,0.088,0.9781,0.9646
0.0696,0.0881,0.9781,0.9646
0.0709,0.0877,0.9781,0.9646
0.07,0.0887,0.9803,0.9646
0.0701,0.0876,0.9781,0.9646
0.0697,0.0882,0.9803,0.9646
0.0703,0.0883,0.9803,0.9646
0.0699,0.0884,0.9803,0.9646
0.0693,0.0885,0.9803,0.9646
0.0697,0.0886,0.9803,0.9646
0.0691,0.0884,0.9803,0.9646
0.0689,0.0884,0.9803,0.9646
0.0699,0.0886,0.9803,0.9646
0.0697,0.0884,0.9803,0.9646
0.0688,0.0878,0.9803,0.9646
0.0687,0.0882,0.9803,0.9646
0.0686,0.0881,0.9803,0.9646
0.0687,0.0884,0.9803,0.9646
0.0701,0.0884,0.9803,0.9646
0.0685,0.0881,0.9803,0.9646
0.0689,0.0883,0.9803,0.9646
0.0686,0.0882,0.9803,0.9646
0.0682,0.0887,0.9803,0.9646
0.0688,0.0886,0.9803,0.9646
0.0683,0.0887,0.9803,0.9646
0.0681,0.0885,0.9803,0.9646
0.0684,0.0893,0.9803,0.9646
0.0679,0.0889,0.9803,0.9646
0.0693,0.0886,0.9803,0.9646
0.0677,0.0887,0.9803,0.9646
